epoch,train_loss,val_loss,seq_acc,char_acc,avg_edit
1,1.672355895404522,0.207762453442728,0.7689498727453801,0.9391457590848655,0.3773376120393936
2,0.12560398460635994,0.1616375781071018,0.8029766515436538,0.9480595089176835,0.3103352882593781
3,0.083399263251162,0.08769429341273409,0.8841429677990483,0.9726608290652757,0.16747814540223527
4,0.06979479900871138,0.09021407984931704,0.8792740953856368,0.9715200579039707,0.1723470178156468
5,0.05942414822600665,0.0653933224228906,0.9085979860573199,0.9801584491806116,0.12553944893216776
6,0.052767820424979434,0.06076190401275288,0.9176164656412527,0.9817397940318,0.11585703220095164
7,0.04607804006084703,0.057069812065095336,0.9240345247316587,0.9831244542000047,0.10761314595551622
8,0.041404702497406264,0.05708287524479166,0.9219320570985947,0.9828805651931051,0.10833241119840654
9,0.03864155060191318,0.0545637010085121,0.9255837114086534,0.9840528059036875,0.10357419497620891
10,0.03586869520774807,0.05030311614891488,0.9315038176385969,0.9850991684171604,0.094777027774704
11,0.01848797799145028,0.03617089131148532,0.9535243996901627,0.9901028267522638,0.06462321566891667
12,0.013737901372598109,0.03477557772085149,0.9568440854265796,0.990834493772963,0.059975655637932945
13,0.011476375055087229,0.03446387339376805,0.9577293349562908,0.9908974328715177,0.05892442182140091
14,0.009777666393836202,0.03436840156668758,0.9591678654420714,0.9912593326882075,0.0559920327542326
15,0.008185504649633513,0.034966817780309294,0.9584486001991811,0.9909289024207951,0.05715392276197853
16,0.007011162370831324,0.03522972162594874,0.9598871306849618,0.991566160793662,0.055660064180590905
17,0.005969904581096932,0.03511949750048791,0.9614916454575634,0.9918021824132424,0.05328095606949209
18,0.004920081781104519,0.03634055592586995,0.9606617240234591,0.9917156411527296,0.05416620559920327
19,0.004304842643882774,0.03737078770986122,0.9614363173619564,0.9918257845752004,0.05339161226070599
20,0.0036626959205845687,0.038307875026309286,0.9601637711629966,0.9915897629556201,0.054996127033307515
21,0.0027457064532459496,0.03806720220919987,0.9608830364058869,0.9917471107020069,0.05372358083434768
22,0.0025378124186447824,0.03808411948209051,0.9613809892663494,0.9917864476386037,0.05328095606949209
23,0.0024179927906155477,0.03835876930126277,0.9607170521190661,0.991723508540049,0.053778908929954634
24,0.0023055037862502676,0.038497834123710405,0.9607170521190661,0.9916133651175781,0.05405554940798938
25,0.002209802781845822,0.03863621776864919,0.9607170521190661,0.9915976303429395,0.05416620559920327
26,0.0021311747266001334,0.03881502725480331,0.9610490206927078,0.9916920389907715,0.053668252738740735
27,0.002025036888360089,0.038990715354218636,0.9606063959278521,0.9917392433146877,0.05361292464313378
28,0.0019468135154505923,0.03912052466463573,0.9601084430673896,0.9916527020541749,0.05449817417284497
29,0.0018668008635832714,0.03946092492164175,0.9601637711629966,0.9915268238570653,0.05455350226845192
30,0.0017871248740914335,0.039716189294523876,0.9602744273542104,0.9915818955683007,0.054332189886024125
31,0.0017016283380277338,0.039718977378252536,0.9605510678322452,0.9916527020541749,0.054110877503596326
32,0.0016925355946069323,0.039754239706306975,0.9602190992586035,0.9915582934063427,0.054442846077238025
33,0.0016786950985148835,0.03974567284829288,0.9603850835454244,0.9916527020541749,0.054000221312382427
34,0.0016727188319453656,0.03979301937266735,0.9602744273542104,0.9916527020541749,0.054110877503596326
35,0.0016599710251688456,0.03981016191197264,0.9605510678322452,0.9916290998922168,0.054332189886024125
36,0.0016561753184088368,0.039847338255589115,0.9603850835454244,0.9916133651175781,0.054221533694810226
37,0.0016432791215179776,0.03981518850831518,0.9604957397366383,0.9916133651175781,0.05416620559920327
38,0.0016395505363907836,0.03986172987532254,0.9602190992586035,0.991566160793662,0.054332189886024125
39,0.0016280598810748123,0.03985890840417148,0.9601084430673896,0.9915976303429395,0.05427686179041717
40,0.0016258443938298504,0.03992946196366331,0.9603850835454244,0.9916605694414942,0.054000221312382427
41,0.0016092678960577815,0.03983627800714113,0.9605510678322452,0.9916290998922168,0.054110877503596326
42,0.0016149317268440236,0.03990829098835656,0.9599977868761758,0.991542558631704,0.05460883036405887
43,0.0016082363633575535,0.039876413401556496,0.9603297554498175,0.9915740281809814,0.054332189886024125
44,0.0016082257173098888,0.039883061211505366,0.9602744273542104,0.9915976303429395,0.05416620559920327
45,0.0016055955461056906,0.039915969842285716,0.9601637711629966,0.9915346912443846,0.05449817417284497
46,0.0016081904259956363,0.039920292389505334,0.9604957397366383,0.9916920389907715,0.05394489321677548
47,0.0016075430440929963,0.03996605993146864,0.9602744273542104,0.9916290998922168,0.05416620559920327
48,0.0016096873207585723,0.039894762697988716,0.9602744273542104,0.9916054977302587,0.05427686179041717
49,0.0016007839880064364,0.039854294041349575,0.9601084430673896,0.9915504260190233,0.05449817417284497
50,0.0016001903801575775,0.039901139357387136,0.9602190992586035,0.9915818955683007,0.054332189886024125
